municipio,year,week,humidity
angra dos reis,2017,19,85.625
angra dos reis,2017,20,84.1166666667
angra dos reis,2017,21,92.8
angra dos reis,2017,22,89.0
angra dos reis,2017,23,88.2857142857
angra dos reis,2017,24,90.628205
angra dos reis,2017,25,93.0
angra dos reis,2017,26,92.8
angra dos reis,2017,27,87.6666666667
angra dos reis,2017,28,91.4
angra dos reis,2017,29,90.2
angra dos reis,2017,30,91.5
angra dos reis,2017,31,89.5
angra dos reis,2017,32,90.0
angra dos reis,2017,33,90.4
angra dos reis,2017,34,89.7142857143
angra dos reis,2017,35,86.6071428571
angra dos reis,2017,36,79.125
angra dos reis,2017,37,0.0
angra dos reis,2017,38,0.0
angra dos reis,2017,39,0.0
angra dos reis,2017,40,0.0
angra dos reis,2017,41,0.0
angra dos reis,2017,42,0.0
angra dos reis,2017,43,0.0
angra dos reis,2017,44,0.0
angra dos reis,2017,45,0.0
angra dos reis,2017,46,61.673349
angra dos reis,2017,47,73.9472431429
angra dos reis,2017,48,68.8876991429
angra dos reis,2017,49,83.1162121429
angra dos reis,2017,50,85.6159294286
angra dos reis,2017,51,86.0779578571
angra dos reis,2017,52,89.6264464286
angra dos reis,2018,1,85.8804128571
angra dos reis,2018,2,81.3837091429
angra dos reis,2018,3,85.1588278571
angra dos reis,2018,4,88.4818077143
angra dos reis,2018,5,89.5522628571
angra dos reis,2018,6,86.5431052857
angra dos reis,2018,7,88.3773542857
angra dos reis,2018,8,88.0050521429
angra dos reis,2018,9,80.8849178571
angra dos reis,2018,10,90.8264292857
angra dos reis,2018,11,90.8197085714
angra dos reis,2018,12,89.3142484286
angra dos reis,2018,13,87.6000201429
angra dos reis,2018,14,91.9677614286
angra dos reis,2018,15,90.7063958571
angra dos reis,2018,16,87.3742722857
angra dos reis,2018,17,69.1003228571
angra dos reis,2018,18,64.0350775714
angra dos reis,2018,19,69.1058531429
angra dos reis,2018,20,72.9202471429
angra dos reis,2018,21,81.3902737143
angra dos reis,2018,22,87.5083007143
angra dos reis,2018,23,88.8272514286
angra dos reis,2018,24,91.6194471429
angra dos reis,2018,25,90.8900574286
angra dos reis,2018,26,92.7575505714
angra dos reis,2018,27,92.4316302857
angra dos reis,2018,28,90.9482078571
angra dos reis,2018,29,69.4958448571
angra dos reis,2018,30,62.8535067142857
angra dos reis,2018,31,73.5389308571429
angra dos reis,2018,32,69.0581774285714
angra dos reis,2018,33,81.531468
angra dos reis,2018,34,91.2225994285714
angra dos reis,2018,35,88.5436442857143
angra dos reis,2018,36,85.2264197142857
angra dos reis,2018,37,81.2515224285714
angra dos reis,2018,38,93.062083
angra dos reis,2018,39,87.92226
angra dos reis,2018,40,84.5056837143
angra dos reis,2018,41,79.36207
angra dos reis,2018,42,77.7877932857
angra dos reis,2018,43,88.3479135714
angra dos reis,2018,44,88.3479995714
angra dos reis,2018,45,94.7902734286
angra dos reis,2018,46,85.2672408571
angra dos reis,2018,47,92.4123677143
angra dos reis,2018,48,84.6476765714
angra dos reis,2018,49,86.6782234286
angra dos reis,2018,50,52.9867801429
angra dos reis,2018,51,64.0413441429
angra dos reis,2018,52,82.6770062857
angra dos reis,2019,1,88.874159
angra dos reis,2019,2,86.8543757143
angra dos reis,2019,3,71.4773732857
angra dos reis,2019,4,71.8077052857
angra dos reis,2019,5,55.2032932857
angra dos reis,2019,6,81.6773295714
angra dos reis,2019,7,93.24847
angra dos reis,2019,8,94.4864478571
angra dos reis,2019,9,92.8953871429
angra dos reis,2019,10,92.9461471429
angra dos reis,2019,11,90.8590542857
angra dos reis,2019,12,90.5591142857
angra dos reis,2019,13,89.9327565714
angra dos reis,2019,14,89.1378085714
angra dos reis,2019,15,90.8335442857
angra dos reis,2019,16,88.0698457143
angra dos reis,2019,17,88.8548934286
angra dos reis,2019,18,89.7381027143
angra dos reis,2019,19,91.535222
angra dos reis,2019,20,85.7442148571
angra dos reis,2019,21,86.6334542857
angra dos reis,2019,22,95.5791877143
angra dos reis,2019,23,89.5134307143
angra dos reis,2019,24,91.1390625714
angra dos reis,2019,25,94.7440528571
angra dos reis,2019,26,95.6315571429
angra dos reis,2019,27,82.1287484286
angra dos reis,2019,28,88.5583208571
angra dos reis,2019,29,89.9853907143
angra dos reis,2019,30,93.6593591429
angra dos reis,2019,31,88.5006461429
angra dos reis,2019,32,91.0237271429
angra dos reis,2019,33,88.6606267143
angra dos reis,2019,34,86.9072084286
angra dos reis,2019,35,83.40408
angra dos reis,2019,36,90.5583571429
angra dos reis,2019,37,90.9682644286
angra dos reis,2019,38,83.3076585714
angra dos reis,2019,39,88.0731745714
angra dos reis,2019,40,81.2878008571
angra dos reis,2019,41,85.6035
angra dos reis,2019,42,77.6611001429
angra dos reis,2019,43,80.0215085714
angra dos reis,2019,44,77.3125685714
angra dos reis,2019,45,78.1925978571
angra dos reis,2019,46,82.221468
angra dos reis,2019,47,77.5426562857
angra dos reis,2019,48,69.7870412857
angra dos reis,2019,49,79.7382102857
angra dos reis,2019,50,80.9559342857
angra dos reis,2019,51,74.2016305714
angra dos reis,2019,52,76.0063411429
angra dos reis,2020,1,67.9679423333
angra dos reis,2020,2,62.1487904286
angra dos reis,2020,3,67.0615722857
angra dos reis,2020,4,62.7931644286
angra dos reis,2020,5,53.285215
angra dos reis,2020,6,77.9353584286
angra dos reis,2020,7,84.3490117143
angra dos reis,2020,8,81.7330417143
angra dos reis,2020,9,80.6879008571
angra dos reis,2020,10,78.4070278571
angra dos reis,2020,11,64.9100675714
angra dos reis,2020,12,70.1004805714
angra dos reis,2020,13,59.4338778571
angra dos reis,2020,14,66.8036005714
angra dos reis,2020,15,65.1344911429
angra dos reis,2020,16,63.7877495714
angra dos reis,2020,17,59.3258732857
angra dos reis,2020,18,54.7906247143
angra dos reis,2020,19,58.2519762857
angra dos reis,2020,20,62.2625304286
angra dos reis,2020,21,57.166351
angra dos reis,2020,22,57.7922095714
angra dos reis,2020,23,62.8421824286
angra dos reis,2020,24,63.6021154286
angra dos reis,2020,25,64.0018
angra dos reis,2020,26,62.1759107143
angra dos reis,2020,27,62.1232865714
angra dos reis,2020,28,59.0860437143
angra dos reis,2020,29,62.4033857143
angra dos reis,2020,30,51.4661935714
angra dos reis,2020,31,59.7241622857
angra dos reis,2020,32,49.849063
angra dos reis,2020,33,43.740513
angra dos reis,2020,34,73.2418781429
angra dos reis,2020,35,50.4255048571
angra dos reis,2020,36,48.3722465714
angra dos reis,2020,37,43.9227688571
angra dos reis,2020,38,42.6442837143
angra dos reis,2020,39,64.2793244286
angra dos reis,2020,40,47.6843944286
angra dos reis,2020,41,62.907687
angra dos reis,2020,42,66.1886477143
angra dos reis,2020,43,62.4832617143
angra dos reis,2020,44,64.2841008571
angra dos reis,2020,45,66.1563288571
angra dos reis,2020,46,70.44688
angra dos reis,2020,47,70.4137518571
angra dos reis,2020,48,61.2181336667
angra dos reis,2020,49,0.0
angra dos reis,2020,50,0.0
angra dos reis,2020,51,0.0
angra dos reis,2020,52,0.0
angra dos reis,2021,1,71.3543848571
angra dos reis,2021,2,74.0707657143
angra dos reis,2021,3,58.0372051429
angra dos reis,2021,4,55.5248914286
angra dos reis,2021,5,75.0494542857
angra dos reis,2021,6,75.6208371429
angra dos reis,2021,7,70.4123802857
angra dos reis,2021,8,75.1285052857
angra dos reis,2021,9,72.8918328571
angra dos reis,2021,10,73.8510134286
angra dos reis,2021,11,77.8376681429
angra dos reis,2021,12,65.8793422857
angra dos reis,2021,13,67.70948
angra dos reis,2021,14,66.570399
angra dos reis,2021,15,64.6627662857
angra dos reis,2021,16,74.864025
angra dos reis,2021,17,65.9053711429
angra dos reis,2021,18,65.2516077143
angra dos reis,2021,19,73.3068907143
angra dos reis,2021,20,72.1066837143
angra dos reis,2021,21,67.2323897143
angra dos reis,2021,22,73.6198334286
angra dos reis,2021,23,78.7774851429
angra dos reis,2021,24,72.783178
angra dos reis,2021,25,70.0889997143
angra dos reis,2021,26,63.887061
angra dos reis,2021,27,65.4624868571
angra dos reis,2021,28,61.7701917143
angra dos reis,2021,29,58.1128795714
angra dos reis,2021,30,62.0341272857
angra dos reis,2021,31,64.5535998571
angra dos reis,2021,32,62.7460955714
angra dos reis,2021,33,61.7565241429
angra dos reis,2021,34,53.4712767143
angra dos reis,2021,35,59.0115765714
angra dos reis,2021,36,62.6092905714
angra dos reis,2021,37,61.2573637143
angra dos reis,2021,38,56.7667155714
angra dos reis,2021,39,59.3114697143
angra dos reis,2021,40,76.7128918571
angra dos reis,2021,41,70.7019525714
angra dos reis,2021,42,74.9960431429
angra dos reis,2021,43,79.8024642857
angra dos reis,2021,44,69.1030731429
angra dos reis,2021,45,70.9955385714
angra dos reis,2021,46,64.2341375714
angra dos reis,2021,47,62.0402307143
angra dos reis,2021,48,66.5613255714
angra dos reis,2021,49,69.7768664286
angra dos reis,2021,50,74.6445171429
angra dos reis,2021,51,65.1694422857
angra dos reis,2021,52,74.3152435714
angra dos reis,2022,1,81.8293742857
angra dos reis,2022,2,79.8668642857
angra dos reis,2022,3,65.1606642857
angra dos reis,2022,4,64.799788
angra dos reis,2022,5,79.7547585714
angra dos reis,2022,6,75.6677001429
angra dos reis,2022,7,73.4670185714
angra dos reis,2022,8,66.1306527143
angra dos reis,2022,9,59.1981715714
angra dos reis,2022,10,60.0475858571
angra dos reis,2022,11,76.3627797143
angra dos reis,2022,12,71.6791222857
angra dos reis,2022,13,76.5538548571
angra dos reis,2022,14,79.4771535714
angra dos reis,2022,15,74.3891564286
angra dos reis,2022,16,69.348836
angra dos reis,2022,17,76.9909765714
angra dos reis,2022,18,79.5717098571
angra dos reis,2022,19,76.890038
angra dos reis,2022,20,71.793682
angra dos reis,2022,21,68.7705857143
angra dos reis,2022,22,79.6184012857
angra dos reis,2022,23,86.0545387143
angra dos reis,2022,24,70.3631155714
angra dos reis,2022,25,70.5512651429
angra dos reis,2022,26,72.8215018571
angra dos reis,2022,27,67.5961714286
angra dos reis,2022,28,67.7033754286
angra dos reis,2022,29,66.9050398571
angra dos reis,2022,30,68.0343332857
angra dos reis,2022,31,74.8565797143
angra dos reis,2022,32,74.4313934286
angra dos reis,2022,33,71.7587971429
angra dos reis,2022,34,64.4826194286
angra dos reis,2022,35,74.8553355714
angra dos reis,2022,36,61.1077257143
angra dos reis,2022,37,86.84465
angra dos reis,2022,38,73.3957285714
angra dos reis,2022,39,86.3525035714
angra dos reis,2022,40,78.7677742857
angra dos reis,2022,41,69.9307142857
angra dos reis,2022,42,74.2848897143
angra dos reis,2022,43,69.7116341429
