municipio,year,week,temperature
cachoeiras de macacu,2010,6,30.0842164286
cambuci,2010,6,30.374812
carapebus,2010,6,30.374812
comendador levy gasparian,2010,6,30.0842164286
campos dos goytacazes,2010,6,30.374812
cantagalo,2010,6,29.0754855714
cardoso moreira,2010,6,30.374812
carmo,2010,6,29.0754855714
casimiro de abreu,2010,6,29.0754855714
conceicao de macabu,2010,6,30.374812
cordeiro,2010,6,29.0754855714
duas barras,2010,6,29.0754855714
duque de caxias,2010,6,30.0842164286
engenheiro paulo de frontin,2010,6,31.365603
guapimirim,2010,6,30.0842164286
iguaba grande,2010,6,30.2738094286
itaborai,2010,6,30.0842164286
itaguai,2010,6,31.365603
italva,2010,6,30.374812
itaocara,2010,6,30.374812
itaperuna,2010,6,30.374812
itatiaia,2010,6,28.249667
japeri,2010,6,30.0842164286
laje do muriae,2010,6,30.374812
macae,2010,6,29.0754855714
macuco,2010,6,29.0754855714
mage,2010,6,30.0842164286
mangaratiba,2010,6,28.9872714286
marica,2010,6,30.0842164286
mendes,2010,6,31.365603
mesquita,2010,6,25.6176345714
miguel pereira,2010,6,30.0842164286
miracema,2010,6,30.374812
natividade,2010,6,30.374812
nilopolis,2010,6,30.0842164286
niteroi,2010,6,30.0842164286
nova friburgo,2010,6,29.0754855714
nova iguacu,2010,6,30.0842164286
paracambi,2010,6,31.365603
paraiba do sul,2010,6,30.0842164286
paraty,2010,6,28.249667
paty do alferes,2010,6,30.0842164286
petropolis,2010,6,30.0842164286
pinheiral,2010,6,31.365603
pirai,2010,6,31.365603
porciuncula,2010,6,30.374812
porto real,2010,6,28.249667
quatis,2010,6,28.249667
queimados,2010,6,31.365603
quissama,2010,6,30.374812
resende,2010,6,28.249667
rio bonito,2010,6,29.2969928571
rio claro,2010,6,31.365603
rio das flores,2010,6,30.0842164286
rio das ostras,2010,6,29.0754855714
rio de janeiro,2010,6,30.0842164286
santa maria madalena,2010,6,30.374812
santo antonio de padua,2010,6,30.374812
sao francisco de itabapoana,2010,6,30.374812
sao fidelis,2010,6,30.374812
sao goncalo,2010,6,30.0842164286
sao joao da barra,2010,6,30.374812
sao joao de meriti,2010,6,30.0842164286
sao jose de uba,2010,6,30.374812
sao jose do vale do rio preto,2010,6,30.0842164286
sao pedro da aldeia,2010,6,30.2738094286
sao sebastiao do alto,2010,6,30.374812
sapucaia,2010,6,30.0842164286
saquarema,2010,6,30.2738094286
seropedica,2010,6,31.365603
silva jardim,2010,6,30.2738094286
sumidouro,2010,6,29.0754855714
tangua,2010,6,30.0842164286
teresopolis,2010,6,30.0842164286
trajano de moraes,2010,6,29.0754855714
tres rios,2010,6,30.0842164286
valenca,2010,6,27.3119077143
varre-sai,2010,6,30.374812
vassouras,2010,6,30.0842164286
volta redonda,2010,6,28.9872714286
angra dos reis,2010,7,26.6606722857
aperibe,2010,7,30.2699247143
araruama,2010,7,29.5666668571
areal,2010,7,28.5630474286
armacao dos buzios,2010,7,28.2393377143
arraial do cabo,2010,7,29.5666668571
