municipio,year,week,cases
mangaratiba,2010,5,0
marica,2010,5,0
mendes,2010,5,0
mesquita,2010,5,0
miguel pereira,2010,5,0
miracema,2010,5,0
natividade,2010,5,8
nilopolis,2010,5,2
niteroi,2010,5,10
nova friburgo,2010,5,2
nova iguacu,2010,5,9
paracambi,2010,5,0
paraiba do sul,2010,5,0
paraty,2010,5,7
paty do alferes,2010,5,0
petropolis,2010,5,4
pinheiral,2010,5,1
pirai,2010,5,3
porciuncula,2010,5,35
porto real,2010,5,1
quatis,2010,5,0
queimados,2010,5,0
quissama,2010,5,1
resende,2010,5,1
rio bonito,2010,5,5
rio claro,2010,5,0
rio das flores,2010,5,0
rio das ostras,2010,5,6
rio de janeiro,2010,5,68
santa maria madalena,2010,5,0
santo antonio de padua,2010,5,0
sao francisco de itabapoana,2010,5,0
sao fidelis,2010,5,2
sao goncalo,2010,5,14
sao joao da barra,2010,5,0
sao joao de meriti,2010,5,6
sao jose de uba,2010,5,0
sao jose do vale do rio preto,2010,5,0
sao pedro da aldeia,2010,5,2
sao sebastiao do alto,2010,5,0
sapucaia,2010,5,0
saquarema,2010,5,0
seropedica,2010,5,0
silva jardim,2010,5,1
sumidouro,2010,5,0
tangua,2010,5,71
teresopolis,2010,5,0
trajano de moraes,2010,5,0
tres rios,2010,5,0
valenca,2010,5,6
varre-sai,2010,5,0
vassouras,2010,5,0
volta redonda,2010,5,5
angra dos reis,2010,6,10
aperibe,2010,6,0
araruama,2010,6,4
areal,2010,6,0
armacao dos buzios,2010,6,1
arraial do cabo,2010,6,3
barra do pirai,2010,6,0
barra mansa,2010,6,0
belford roxo,2010,6,8
bom jardim,2010,6,0
bom jesus do itabapoana,2010,6,1
cabo frio,2010,6,3
cachoeiras de macacu,2010,6,1
cambuci,2010,6,0
carapebus,2010,6,0
comendador levy gasparian,2010,6,0
campos dos goytacazes,2010,6,64
cantagalo,2010,6,0
cardoso moreira,2010,6,0
carmo,2010,6,0
casimiro de abreu,2010,6,102
conceicao de macabu,2010,6,0
cordeiro,2010,6,0
duas barras,2010,6,0
