municipio,year,week,rainfall
angra dos reis,2018,50,55.16913600000001
angra dos reis,2018,51,58.153581
angra dos reis,2018,52,61.94568100000001
angra dos reis,2019,1,65.725681
angra dos reis,2019,2,67.983088
angra dos reis,2019,3,70.15296399999998
angra dos reis,2019,4,74.37111220000001
angra dos reis,2019,5,56.7211128
angra dos reis,2019,6,57.978151
angra dos reis,2019,7,66.02123500000002
angra dos reis,2019,8,51.90864300000001
angra dos reis,2019,9,62.081853
angra dos reis,2019,10,62.209259
angra dos reis,2019,11,56.620494
angra dos reis,2019,12,63.892592400000005
angra dos reis,2019,13,59.4399996
angra dos reis,2019,14,36.84247
angra dos reis,2019,15,32.6187652
angra dos reis,2019,16,29.4393818
angra dos reis,2019,17,29.369752999999996
angra dos reis,2019,18,23.423457
angra dos reis,2019,19,21.0296298
angra dos reis,2019,20,20.9913578
angra dos reis,2019,21,18.4276544
angra dos reis,2019,22,15.0701236
angra dos reis,2019,23,16.7446916
angra dos reis,2019,24,10.3728392
angra dos reis,2019,25,10.9467902
angra dos reis,2019,26,13.1280254
angra dos reis,2019,27,10.5838271
angra dos reis,2019,28,12.052468700000002
angra dos reis,2019,29,13.650369800000002
angra dos reis,2019,30,16.6288892
angra dos reis,2019,31,11.921481600000002
angra dos reis,2019,32,12.2664198
angra dos reis,2019,33,10.5760494
angra dos reis,2019,34,12.8933334
angra dos reis,2019,35,13.0850617
angra dos reis,2019,36,22.494196899999995
angra dos reis,2019,37,22.996666899999997
angra dos reis,2019,38,26.1181483
angra dos reis,2019,39,33.4193818
angra dos reis,2019,40,37.2993814
angra dos reis,2019,41,37.160864
angra dos reis,2019,42,36.113952
angra dos reis,2019,43,43.463952
angra dos reis,2019,44,38.286666
angra dos reis,2019,45,45.871602
angra dos reis,2019,46,54.118644999999994
angra dos reis,2019,47,52.459877000000006
angra dos reis,2019,48,51.660246
angra dos reis,2019,49,54.326916
angra dos reis,2019,50,55.028766000000005
angra dos reis,2019,51,57.205556
angra dos reis,2019,52,61.94568100000001
angra dos reis,2020,1,47.396915
angra dos reis,2020,2,67.440619
angra dos reis,2020,3,70.15296399999998
angra dos reis,2020,4,73.7685196
angra dos reis,2020,5,59.0629644
angra dos reis,2020,6,57.978151
angra dos reis,2020,7,64.87222300000002
angra dos reis,2020,8,55.436791000000014
angra dos reis,2020,9,50.21123600000001
angra dos reis,2020,10,62.209259
angra dos reis,2020,11,58.217284
angra dos reis,2020,12,60.2565432
angra dos reis,2020,13,69.3466662
angra dos reis,2020,14,36.2227166
angra dos reis,2020,15,34.7306176
angra dos reis,2020,16,29.450986599999997
angra dos reis,2020,17,29.381357799999996
angra dos reis,2020,18,25.8019754
angra dos reis,2020,19,21.0449386
angra dos reis,2020,20,20.9913578
angra dos reis,2020,21,19.282222200000003
angra dos reis,2020,22,15.428889000000002
angra dos reis,2020,23,16.7446916
angra dos reis,2020,24,12.49679
angra dos reis,2020,25,9.8561726
angra dos reis,2020,26,13.1280254
angra dos reis,2020,27,11.3107409
angra dos reis,2020,28,11.3181479
angra dos reis,2020,29,13.153949900000002
angra dos reis,2020,30,16.1324693
angra dos reis,2020,31,13.0874076
angra dos reis,2020,32,12.548148200000002
angra dos reis,2020,33,10.8577778
angra dos reis,2020,34,11.9664198
angra dos reis,2020,35,13.820247
angra dos reis,2020,36,19.280740199999997
angra dos reis,2020,37,22.7956789
angra dos reis,2020,38,23.1976549
angra dos reis,2020,39,33.4193818
angra dos reis,2020,40,36.0060482
angra dos reis,2020,41,37.68432
angra dos reis,2020,42,36.113952
angra dos reis,2020,43,41.363952000000005
angra dos reis,2020,44,37.598766
angra dos reis,2020,45,45.871602
angra dos reis,2020,46,51.76234699999999
angra dos reis,2020,47,53.289261
angra dos reis,2020,48,51.215801000000006
angra dos reis,2020,49,53.882470999999995
angra dos reis,2020,50,54.748026
angra dos reis,2020,51,55.309506000000006
angra dos reis,2020,52,61.94568100000001
angra dos reis,2021,1,66.355681
angra dos reis,2021,2,70.15296399999998
angra dos reis,2021,3,72.5633344
angra dos reis,2021,4,63.74666760000001
angra dos reis,2021,5,57.978151
angra dos reis,2021,6,62.57419900000002
angra dos reis,2021,7,62.49308700000002
angra dos reis,2021,8,41.32419900000001
angra dos reis,2021,9,74.01617299999998
angra dos reis,2021,10,59.015679
angra dos reis,2021,11,58.4385186
angra dos reis,2021,12,69.3466662
angra dos reis,2021,13,40.8661732
angra dos reis,2021,14,35.786543800000004
angra dos reis,2021,15,29.450986599999997
angra dos reis,2021,16,29.392962599999997
angra dos reis,2021,17,26.9912346
angra dos reis,2021,18,21.0449386
angra dos reis,2021,19,20.9990122
angra dos reis,2021,20,19.7095061
angra dos reis,2021,21,18.000370500000002
angra dos reis,2021,22,14.3525928
angra dos reis,2021,23,13.5587654
angra dos reis,2021,24,9.3108638
angra dos reis,2021,25,13.1280254
angra dos reis,2021,26,11.674197799999998
angra dos reis,2021,27,10.9509875
angra dos reis,2021,28,13.153949900000002
angra dos reis,2021,29,15.6360494
angra dos reis,2021,30,13.6703706
angra dos reis,2021,31,12.548148200000002
angra dos reis,2021,32,11.1395062
angra dos reis,2021,33,11.502963
angra dos reis,2021,34,13.820247
angra dos reis,2021,35,18.0416045
angra dos reis,2021,36,22.695184899999997
angra dos reis,2021,37,23.1976549
angra dos reis,2021,38,31.959135099999997
angra dos reis,2021,39,35.359381600000006
angra dos reis,2021,40,37.946048000000005
angra dos reis,2021,41,36.113952
angra dos reis,2021,42,40.313952
angra dos reis,2021,43,37.254816
